#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                  AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "002_NACA0012_AE3932_01"
FILETYPE = FULL
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 I=1, J=1, K=1, DATAPACKING=POINT
-999.00000 -999.00000 -999.00000
ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
 I=523, J=1, K=1, DATAPACKING=POINT
0.53119 0.91440 -0.02696
0.53183 0.91440 -0.02710
0.53222 0.91440 -0.02718
0.53247 0.91440 -0.02724
0.53247 0.91440 -0.02733
0.53246 0.91440 -0.02741
0.53245 0.91440 -0.02750
0.53245 0.91440 -0.02759
0.53244 0.91440 -0.02768
0.53244 0.91440 -0.02777
0.53243 0.91440 -0.02786
0.53242 0.91440 -0.02795
0.53242 0.91440 -0.02804
0.53241 0.91440 -0.02813
0.53240 0.91440 -0.02822
0.53240 0.91440 -0.02831
0.53239 0.91440 -0.02840
0.53239 0.91440 -0.02849
0.53238 0.91440 -0.02858
0.53212 0.91440 -0.02859
0.53172 0.91440 -0.02862
0.53107 0.91440 -0.02867
0.53003 0.91440 -0.02874
0.52837 0.91440 -0.02885
0.52580 0.91440 -0.02903
0.52324 0.91440 -0.02920
0.52067 0.91440 -0.02937
0.51810 0.91440 -0.02954
0.51553 0.91440 -0.02971
0.51296 0.91440 -0.02987
0.51039 0.91440 -0.03003
0.50782 0.91440 -0.03019
0.50525 0.91440 -0.03035
0.50268 0.91440 -0.03051
0.50011 0.91440 -0.03067
0.49754 0.91440 -0.03082
0.49497 0.91440 -0.03097
0.49240 0.91440 -0.03112
0.48983 0.91440 -0.03127
0.48726 0.91440 -0.03141
0.48469 0.91440 -0.03156
0.48212 0.91440 -0.03170
0.47955 0.91440 -0.03184
0.47698 0.91440 -0.03198
0.47441 0.91440 -0.03212
0.47184 0.91440 -0.03225
0.46927 0.91440 -0.03239
0.46670 0.91440 -0.03252
0.46413 0.91440 -0.03265
0.46156 0.91440 -0.03278
0.45899 0.91440 -0.03290
0.45641 0.91440 -0.03303
0.45384 0.91440 -0.03315
0.45127 0.91440 -0.03327
0.44870 0.91440 -0.03339
0.44613 0.91440 -0.03351
0.44356 0.91440 -0.03363
0.44099 0.91440 -0.03374
0.43841 0.91440 -0.03386
0.43584 0.91440 -0.03397
0.43327 0.91440 -0.03408
0.43070 0.91440 -0.03419
0.42813 0.91440 -0.03430
0.42555 0.91440 -0.03440
0.42298 0.91440 -0.03450
0.42041 0.91440 -0.03461
0.41784 0.91440 -0.03471
0.41527 0.91440 -0.03481
0.41269 0.91440 -0.03490
0.41012 0.91440 -0.03500
0.40755 0.91440 -0.03509
