#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                  AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 1350 [s]
#                                  LWC: 0.51 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "002_ONERAM6_01"
FILETYPE = FULL
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
 I=96, J=1, K=1, DATAPACKING=POINT
1.02799 0.10000 0.00001
1.02799 0.10000 -0.00001
1.02810 0.10000 0.00000
1.02767 0.10000 -0.00005
1.02712 0.10000 -0.00013
1.02631 0.10000 -0.00023
1.02520 0.10000 -0.00037
1.02371 0.10000 -0.00056
1.02177 0.10000 -0.00081
1.01926 0.10000 -0.00113
1.01601 0.10000 -0.00154
1.01183 0.10000 -0.00206
1.00643 0.10000 -0.00273
0.99946 0.10000 -0.00359
0.99044 0.10000 -0.00469
0.97878 0.10000 -0.00613
0.96374 0.10000 -0.00799
0.94439 0.10000 -0.01035
0.91971 0.10000 -0.01329
0.88858 0.10000 -0.01680
0.84994 0.10000 -0.02088
0.80304 0.10000 -0.02547
0.74768 0.10000 -0.03049
0.68455 0.10000 -0.03573
0.61539 0.10000 -0.04069
0.54291 0.10000 -0.04460
0.47043 0.10000 -0.04679
0.40127 0.10000 -0.04715
0.33814 0.10000 -0.04609
0.28278 0.10000 -0.04423
0.23583 0.10000 -0.04232
0.19712 0.10000 -0.04012
0.16595 0.10000 -0.03744
0.14124 0.10000 -0.03471
0.12144 0.10000 -0.03453
0.10440 0.10000 -0.04126
0.08976 0.10000 -0.04873
0.07764 0.10000 -0.05012
0.06801 0.10000 -0.04638
0.06070 0.10000 -0.04078
0.05529 0.10000 -0.03509
0.05167 0.10000 -0.02952
0.04851 0.10000 -0.02502
0.04600 0.10000 -0.02096
0.04411 0.10000 -0.01713
0.04254 0.10000 -0.01356
0.04150 0.10000 -0.01008
0.04082 0.10000 -0.00673
0.03991 0.10000 -0.00346
0.03884 0.10000 0.00000
0.03815 0.10000 0.00362
0.03751 0.10000 0.00734
0.03674 0.10000 0.01139
0.03613 0.10000 0.01595
0.03651 0.10000 0.02077
0.03822 0.10000 0.02562
0.04087 0.10000 0.03069
0.04435 0.10000 0.03626
0.04875 0.10000 0.04271
0.05593 0.10000 0.04804
0.06649 0.10000 0.04953
0.07956 0.10000 0.04458
0.09291 0.10000 0.03648
0.10601 0.10000 0.03370
0.12130 0.10000 0.03530
0.14094 0.10000 0.03660
0.16585 0.10000 0.03817
0.19709 0.10000 0.04045
0.23582 0.10000 0.04236
0.28278 0.10000 0.04420
0.33814 0.10000 0.04609
0.40127 0.10000 0.04715
0.47043 0.10000 0.04679
0.54291 0.10000 0.04460
0.61539 0.10000 0.04069
0.68455 0.10000 0.03573
0.74768 0.10000 0.03049
0.80304 0.10000 0.02547
0.84994 0.10000 0.02088
