VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_SINGLE_LAYER"
1.028093e+00 1.000000e-01 0.000000e+00
1.028087e+00 1.000000e-01 8.349693e-07
1.028067e+00 1.000000e-01 3.342607e-06
1.028035e+00 1.000000e-01 7.531112e-06
1.027989e+00 1.000000e-01 1.341419e-05
1.027930e+00 1.000000e-01 2.101112e-05
1.027857e+00 1.000000e-01 3.034682e-05
1.027771e+00 1.000000e-01 4.145197e-05
1.027670e+00 1.000000e-01 5.436315e-05
1.027555e+00 1.000000e-01 6.912300e-05
1.027426e+00 1.000000e-01 8.578036e-05
1.027281e+00 1.000000e-01 1.043905e-04
1.027121e+00 1.000000e-01 1.250155e-04
1.026944e+00 1.000000e-01 1.477242e-04
1.026750e+00 1.000000e-01 1.725926e-04
1.026539e+00 1.000000e-01 1.997044e-04
1.026310e+00 1.000000e-01 2.291511e-04
1.026062e+00 1.000000e-01 2.610323e-04
1.025793e+00 1.000000e-01 2.954562e-04
1.025505e+00 1.000000e-01 3.325398e-04
1.025194e+00 1.000000e-01 3.724096e-04
1.024860e+00 1.000000e-01 4.152017e-04
1.024502e+00 1.000000e-01 4.610623e-04
1.024119e+00 1.000000e-01 5.101483e-04
1.023709e+00 1.000000e-01 5.626273e-04
1.023270e+00 1.000000e-01 6.186780e-04
1.022802e+00 1.000000e-01 6.784907e-04
1.022301e+00 1.000000e-01 7.422688e-04
1.021768e+00 1.000000e-01 8.102357e-04
1.021198e+00 1.000000e-01 8.826321e-04
1.020591e+00 1.000000e-01 9.597164e-04
1.019944e+00 1.000000e-01 1.041766e-03
1.019254e+00 1.000000e-01 1.129076e-03
1.018518e+00 1.000000e-01 1.221966e-03
1.017734e+00 1.000000e-01 1.320775e-03
1.016899e+00 1.000000e-01 1.425868e-03
1.016009e+00 1.000000e-01 1.537635e-03
1.015061e+00 1.000000e-01 1.656493e-03
1.014051e+00 1.000000e-01 1.782891e-03
1.012974e+00 1.000000e-01 1.917307e-03
1.011826e+00 1.000000e-01 2.060255e-03
1.010603e+00 1.000000e-01 2.212287e-03
1.009300e+00 1.000000e-01 2.373994e-03
1.007910e+00 1.000000e-01 2.546012e-03
1.006429e+00 1.000000e-01 2.729024e-03
1.004850e+00 1.000000e-01 2.923768e-03
1.003166e+00 1.000000e-01 3.131037e-03
1.001371e+00 1.000000e-01 3.351693e-03
9.994569e-01 1.000000e-01 3.586666e-03
9.974155e-01 1.000000e-01 3.836972e-03
9.952385e-01 1.000000e-01 4.103714e-03
9.929169e-01 1.000000e-01 4.388104e-03
9.904411e-01 1.000000e-01 4.691473e-03
9.878008e-01 1.000000e-01 5.015289e-03
9.849854e-01 1.000000e-01 5.361184e-03
9.819835e-01 1.000000e-01 5.730975e-03
9.787831e-01 1.000000e-01 6.126503e-03
9.753716e-01 1.000000e-01 6.549003e-03
9.717358e-01 1.000000e-01 6.999406e-03
9.678617e-01 1.000000e-01 7.478677e-03
9.637350e-01 1.000000e-01 7.988208e-03
9.593406e-01 1.000000e-01 8.529421e-03
9.546628e-01 1.000000e-01 9.103589e-03
9.496854e-01 1.000000e-01 9.711728e-03
9.443919e-01 1.000000e-01 1.035464e-02
9.387652e-01 1.000000e-01 1.103309e-02
9.327879e-01 1.000000e-01 1.174771e-02
9.264424e-01 1.000000e-01 1.249890e-02
9.197111e-01 1.000000e-01 1.328691e-02
9.125763e-01 1.000000e-01 1.411173e-02
9.050205e-01 1.000000e-01 1.497310e-02
8.970267e-01 1.000000e-01 1.587076e-02
8.885783e-01 1.000000e-01 1.680418e-02
8.796596e-01 1.000000e-01 1.777269e-02
8.702562e-01 1.000000e-01 1.877564e-02
8.603546e-01 1.000000e-01 1.981221e-02
8.499432e-01 1.000000e-01 2.088155e-02
8.390124e-01 1.000000e-01 2.198275e-02
8.275545e-01 1.000000e-01 2.311491e-02
8.155648e-01 1.000000e-01 2.427716e-02
8.030411e-01 1.000000e-01 2.546838e-02
7.899846e-01 1.000000e-01 2.668718e-02
7.763999e-01 1.000000e-01 2.793166e-02
7.622955e-01 1.000000e-01 2.919939e-02
7.476835e-01 1.000000e-01 3.048709e-02
7.325806e-01 1.000000e-01 3.179040e-02
7.170074e-01 1.000000e-01 3.310362e-02
7.009891e-01 1.000000e-01 3.441962e-02
6.845550e-01 1.000000e-01 3.572984e-02
6.677388e-01 1.000000e-01 3.702416e-02
6.505781e-01 1.000000e-01 3.829103e-02
6.331143e-01 1.000000e-01 3.951791e-02
