AUXDATA NUM_LAYERS  = "10"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p10_BINS07_KS_0p5mm_SINGLE_LAYER"
1.028093e+00 1.000000e-01 0.000000e+00
1.027989e+00 1.000000e-01 1.341419e-05
1.027670e+00 1.000000e-01 5.436315e-05
1.027121e+00 1.000000e-01 1.250155e-04
1.026310e+00 1.000000e-01 2.291511e-04
1.025194e+00 1.000000e-01 3.724096e-04
1.023709e+00 1.000000e-01 5.626273e-04
1.021768e+00 1.000000e-01 8.102357e-04
1.019254e+00 1.000000e-01 1.129076e-03
1.016009e+00 1.000000e-01 1.537635e-03
1.011826e+00 1.000000e-01 2.060255e-03
1.006429e+00 1.000000e-01 2.729024e-03
9.994569e-01 1.000000e-01 3.586666e-03
9.904411e-01 1.000000e-01 4.691473e-03
9.787831e-01 1.000000e-01 6.126503e-03
9.637350e-01 1.000000e-01 7.988208e-03
9.443919e-01 1.000000e-01 1.035464e-02
9.197111e-01 1.000000e-01 1.328691e-02
8.885783e-01 1.000000e-01 1.680418e-02
8.499432e-01 1.000000e-01 2.088155e-02
8.030411e-01 1.000000e-01 2.546838e-02
7.476835e-01 1.000000e-01 3.048709e-02
6.845550e-01 1.000000e-01 3.572984e-02
6.153924e-01 1.000000e-01 4.069166e-02
5.429130e-01 1.000000e-01 4.459704e-02
4.704336e-01 1.000000e-01 4.679218e-02
4.012708e-01 1.000000e-01 4.716917e-02
3.381403e-01 1.000000e-01 4.615242e-02
2.827737e-01 1.000000e-01 4.434759e-02
2.358437e-01 1.000000e-01 4.228058e-02
1.971453e-01 1.000000e-01 4.037207e-02
1.659051e-01 1.000000e-01 3.897735e-02
1.410860e-01 1.000000e-01 3.835642e-02
1.215694e-01 1.000000e-01 3.857745e-02
1.061678e-01 1.000000e-01 3.939438e-02
9.364700e-02 1.000000e-01 4.019521e-02
8.297505e-02 1.000000e-01 4.023428e-02
7.360091e-02 1.000000e-01 3.908472e-02
6.541716e-02 1.000000e-01 3.674276e-02
5.849035e-02 1.000000e-01 3.345479e-02
5.286828e-02 1.000000e-01 2.953555e-02
4.850977e-02 1.000000e-01 2.527511e-02
4.530089e-02 1.000000e-01 2.092095e-02
4.307069e-02 1.000000e-01 1.665707e-02
4.163232e-02 1.000000e-01 1.260659e-02
4.163232e-02 1.000000e-01 1.260659e-02
4.080371e-02 1.000000e-01 8.827881e-03
4.042731e-02 1.000000e-01 5.353519e-03
4.037157e-02 1.000000e-01 2.190824e-03
4.058485e-02 1.000000e-01 -1.016259e-03
4.104521e-02 1.000000e-01 -4.113622e-03
4.168446e-02 1.000000e-01 -6.978680e-03
4.257645e-02 1.000000e-01 -9.972443e-03
4.379204e-02 1.000000e-01 -1.313264e-02
4.543593e-02 1.000000e-01 -1.649233e-02
4.765502e-02 1.000000e-01 -2.006630e-02
5.062660e-02 1.000000e-01 -2.380755e-02
5.454017e-02 1.000000e-01 -2.760330e-02
5.955574e-02 1.000000e-01 -3.127344e-02
6.579317e-02 1.000000e-01 -3.459939e-02
7.333271e-02 1.000000e-01 -3.734150e-02
8.227405e-02 1.000000e-01 -3.928730e-02
9.283854e-02 1.000000e-01 -4.034829e-02
1.055212e-01 1.000000e-01 -4.069224e-02
1.211586e-01 1.000000e-01 -4.071903e-02
1.408392e-01 1.000000e-01 -4.080885e-02
1.657454e-01 1.000000e-01 -4.122049e-02
1.970414e-01 1.000000e-01 -4.208228e-02
2.357851e-01 1.000000e-01 -4.337994e-02
2.827482e-01 1.000000e-01 -4.494138e-02
3.381329e-01 1.000000e-01 -4.641820e-02
4.012700e-01 1.000000e-01 -4.726536e-02
4.704340e-01 1.000000e-01 -4.681921e-02
5.429132e-01 1.000000e-01 -4.460253e-02
6.153924e-01 1.000000e-01 -4.069236e-02
6.845550e-01 1.000000e-01 -3.572988e-02
7.476835e-01 1.000000e-01 -3.048709e-02
8.030411e-01 1.000000e-01 -2.546838e-02
8.499432e-01 1.000000e-01 -2.088155e-02
8.885783e-01 1.000000e-01 -1.680418e-02
9.197111e-01 1.000000e-01 -1.328691e-02
9.443919e-01 1.000000e-01 -1.035464e-02
9.637350e-01 1.000000e-01 -7.988208e-03
9.787831e-01 1.000000e-01 -6.126503e-03
9.904411e-01 1.000000e-01 -4.691473e-03
9.994569e-01 1.000000e-01 -3.586666e-03
1.006429e+00 1.000000e-01 -2.729024e-03
1.011826e+00 1.000000e-01 -2.060255e-03
1.016009e+00 1.000000e-01 -1.537635e-03
1.019254e+00 1.000000e-01 -1.129076e-03
1.021768e+00 1.000000e-01 -8.102357e-04
1.023709e+00 1.000000e-01 -5.626273e-04
1.025194e+00 1.000000e-01 -3.724096e-04
1.026310e+00 1.000000e-01 -2.291511e-04
1.027121e+00 1.000000e-01 -1.250155e-04
1.027670e+00 1.000000e-01 -5.436315e-05
1.027989e+00 1.000000e-01 -1.341419e-05

ZONE T="SLICE_Y_0p75_BINS07_KS_0p5mm_SINGLE_LAYER"
1.210699e+00 7.500000e-01 0.000000e+00
1.210616e+00 7.500000e-01 1.075092e-05
1.210360e+00 7.500000e-01 4.356982e-05
1.209920e+00 7.500000e-01 1.001948e-04
1.209270e+00 7.500000e-01 1.836552e-04
1.208375e+00 7.500000e-01 2.984709e-04
1.207185e+00 7.500000e-01 4.509226e-04
1.205629e+00 7.500000e-01 6.493704e-04
1.203614e+00 7.500000e-01 9.049080e-04
1.201014e+00 7.500000e-01 1.232351e-03
1.197662e+00 7.500000e-01 1.651209e-03
1.193336e+00 7.500000e-01 2.187200e-03
1.187748e+00 7.500000e-01 2.874565e-03
1.180523e+00 7.500000e-01 3.760022e-03
1.171179e+00 7.500000e-01 4.910139e-03
1.159119e+00 7.500000e-01 6.402219e-03
1.143616e+00 7.500000e-01 8.298819e-03
1.123835e+00 7.500000e-01 1.064891e-02
1.098884e+00 7.500000e-01 1.346785e-02
1.067919e+00 7.500000e-01 1.673570e-02
1.030329e+00 7.500000e-01 2.041185e-02
9.859624e-01 7.500000e-01 2.443415e-02
9.353675e-01 7.500000e-01 2.863599e-02
8.799365e-01 7.500000e-01 3.261268e-02
8.218472e-01 7.500000e-01 3.574249e-02
7.637580e-01 7.500000e-01 3.750000e-02
7.083270e-01 7.500000e-01 3.779192e-02
6.577321e-01 7.500000e-01 3.693620e-02
6.133652e-01 7.500000e-01 3.536490e-02
5.757751e-01 7.500000e-01 3.340105e-02
5.448107e-01 7.500000e-01 3.124236e-02
5.198382e-01 7.500000e-01 2.928358e-02
5.000058e-01 7.500000e-01 2.861889e-02
4.846104e-01 7.500000e-01 3.003905e-02
4.726845e-01 7.500000e-01 3.308950e-02
4.625878e-01 7.500000e-01 3.580691e-02
4.531700e-01 7.500000e-01 3.691297e-02
4.443588e-01 7.500000e-01 3.616762e-02
4.364585e-01 7.500000e-01 3.395105e-02
4.297314e-01 7.500000e-01 3.063919e-02
4.243709e-01 7.500000e-01 2.659015e-02
4.204176e-01 7.500000e-01 2.222100e-02
4.177213e-01 7.500000e-01 1.791557e-02
4.160110e-01 7.500000e-01 1.389674e-02
4.150249e-01 7.500000e-01 1.023248e-02
4.145556e-01 7.500000e-01 6.905918e-03
4.144401e-01 7.500000e-01 3.901560e-03
4.145467e-01 7.500000e-01 1.209228e-03
4.145467e-01 7.500000e-01 1.209228e-03
4.148442e-01 7.500000e-01 -1.471836e-03
4.153055e-01 7.500000e-01 -4.020448e-03
4.158750e-01 7.500000e-01 -6.353824e-03
4.166296e-01 7.500000e-01 -8.782664e-03
4.176313e-01 7.500000e-01 -1.136622e-02
4.189658e-01 7.500000e-01 -1.417937e-02
4.207703e-01 7.500000e-01 -1.730062e-02
4.232520e-01 7.500000e-01 -2.074089e-02
4.266638e-01 7.500000e-01 -2.438433e-02
4.311969e-01 7.500000e-01 -2.796550e-02
4.368935e-01 7.500000e-01 -3.115021e-02
4.436531e-01 7.500000e-01 -3.365920e-02
4.514016e-01 7.500000e-01 -3.539050e-02
4.603025e-01 7.500000e-01 -3.642538e-02
4.708542e-01 7.500000e-01 -3.681938e-02
4.837489e-01 7.500000e-01 -3.633456e-02
4.997152e-01 7.500000e-01 -3.494109e-02
5.196842e-01 7.500000e-01 -3.326531e-02
5.447328e-01 7.500000e-01 -3.273249e-02
5.757619e-01 7.500000e-01 -3.362045e-02
6.133652e-01 7.500000e-01 -3.536490e-02
6.577321e-01 7.500000e-01 -3.693620e-02
7.083270e-01 7.500000e-01 -3.779192e-02
7.637580e-01 7.500000e-01 -3.750000e-02
8.218472e-01 7.500000e-01 -3.574249e-02
8.799365e-01 7.500000e-01 -3.261268e-02
9.353675e-01 7.500000e-01 -2.863599e-02
9.859624e-01 7.500000e-01 -2.443415e-02
1.030329e+00 7.500000e-01 -2.041185e-02
1.067919e+00 7.500000e-01 -1.673570e-02
1.098884e+00 7.500000e-01 -1.346785e-02
1.123835e+00 7.500000e-01 -1.064891e-02
1.143616e+00 7.500000e-01 -8.298819e-03
1.159119e+00 7.500000e-01 -6.402219e-03
1.171179e+00 7.500000e-01 -4.910139e-03
1.180523e+00 7.500000e-01 -3.760022e-03
1.187748e+00 7.500000e-01 -2.874565e-03
1.193336e+00 7.500000e-01 -2.187200e-03
1.197662e+00 7.500000e-01 -1.651209e-03
1.201014e+00 7.500000e-01 -1.232351e-03
1.203614e+00 7.500000e-01 -9.049080e-04
1.205629e+00 7.500000e-01 -6.493704e-04
1.207185e+00 7.500000e-01 -4.509226e-04
1.208375e+00 7.500000e-01 -2.984709e-04
1.209270e+00 7.500000e-01 -1.836552e-04
1.209920e+00 7.500000e-01 -1.001948e-04
1.210360e+00 7.500000e-01 -4.356982e-05
1.210616e+00 7.500000e-01 -1.075092e-05

ZONE T="SLICE_Y_1p40_BINS07_KS_0p5mm_SINGLE_LAYER"
1.393305e+00 1.400000e+00 0.000000e+00
1.393242e+00 1.400000e+00 8.087650e-06
1.393050e+00 1.400000e+00 3.277650e-05
1.392719e+00 1.400000e+00 7.537404e-05
1.392230e+00 1.400000e+00 1.381592e-04
1.391557e+00 1.400000e+00 2.245322e-04
1.390662e+00 1.400000e+00 3.392178e-04
1.390662e+00 1.400000e+00 3.392178e-04
1.389491e+00 1.400000e+00 4.885052e-04
1.387975e+00 1.400000e+00 6.807398e-04
1.386019e+00 1.400000e+00 9.270669e-04
1.383497e+00 1.400000e+00 1.242164e-03
1.380243e+00 1.400000e+00 1.645376e-03
1.376040e+00 1.400000e+00 2.162464e-03
1.370604e+00 1.400000e+00 2.828571e-03
1.363575e+00 1.400000e+00 3.693776e-03
1.354502e+00 1.400000e+00 4.816230e-03
1.342840e+00 1.400000e+00 6.242995e-03
1.327960e+00 1.400000e+00 8.010908e-03
1.309189e+00 1.400000e+00 1.013153e-02
1.285895e+00 1.400000e+00 1.258985e-02
1.257617e+00 1.400000e+00 1.535533e-02
1.224241e+00 1.400000e+00 1.838120e-02
1.186180e+00 1.400000e+00 2.154215e-02
1.144481e+00 1.400000e+00 2.453371e-02
1.100781e+00 1.400000e+00 2.688819e-02
1.057082e+00 1.400000e+00 2.821031e-02
1.015383e+00 1.400000e+00 2.842992e-02
9.773217e-01 1.400000e+00 2.778619e-02
9.439456e-01 1.400000e+00 2.660414e-02
9.156675e-01 1.400000e+00 2.512678e-02
8.923738e-01 1.400000e+00 2.350285e-02
8.736032e-01 1.400000e+00 2.183665e-02
8.587228e-01 1.400000e+00 2.021640e-02
8.482491e-01 1.400000e+00 2.312527e-02
8.398744e-01 1.400000e+00 3.006937e-02
8.314231e-01 1.400000e+00 3.263196e-02
8.230761e-01 1.400000e+00 3.297755e-02
8.155518e-01 1.400000e+00 3.233199e-02
8.086741e-01 1.400000e+00 3.045040e-02
8.053381e-01 1.400000e+00 2.878132e-02
8.026055e-01 1.400000e+00 2.741444e-02
7.977434e-01 1.400000e+00 2.364698e-02
7.941789e-01 1.400000e+00 1.965090e-02
7.917505e-01 1.400000e+00 1.572622e-02
7.902232e-01 1.400000e+00 1.201814e-02
7.893607e-01 1.400000e+00 8.620198e-03
7.889520e-01 1.400000e+00 5.573509e-03
7.888362e-01 1.400000e+00 2.872256e-03
7.888986e-01 1.400000e+00 4.769952e-04
7.891188e-01 1.400000e+00 -1.861038e-03
7.895028e-01 1.400000e+00 -4.040363e-03
7.899954e-01 1.400000e+00 -6.007718e-03
7.906549e-01 1.400000e+00 -8.046950e-03
7.915663e-01 1.400000e+00 -1.023960e-02
7.927816e-01 1.400000e+00 -1.265022e-02
7.943935e-01 1.400000e+00 -1.533840e-02
7.965790e-01 1.400000e+00 -1.832798e-02
7.995662e-01 1.400000e+00 -2.157472e-02
8.035711e-01 1.400000e+00 -2.488877e-02
8.046009e-01 1.400000e+00 -2.549840e-02
8.086594e-01 1.400000e+00 -2.790216e-02
8.146011e-01 1.400000e+00 -3.024013e-02
8.210657e-01 1.400000e+00 -3.173614e-02
8.280080e-01 1.400000e+00 -3.252843e-02
8.360080e-01 1.400000e+00 -3.299083e-02
8.461586e-01 1.400000e+00 -3.348673e-02
8.590184e-01 1.400000e+00 -3.312596e-02
8.737622e-01 1.400000e+00 -2.457444e-02
8.923738e-01 1.400000e+00 -2.350285e-02
9.156675e-01 1.400000e+00 -2.512678e-02
9.439456e-01 1.400000e+00 -2.660414e-02
9.773217e-01 1.400000e+00 -2.778619e-02
1.015383e+00 1.400000e+00 -2.842992e-02
1.057082e+00 1.400000e+00 -2.821031e-02
1.100781e+00 1.400000e+00 -2.688819e-02
1.144481e+00 1.400000e+00 -2.453371e-02
1.186180e+00 1.400000e+00 -2.154215e-02
1.224241e+00 1.400000e+00 -1.838120e-02
1.257617e+00 1.400000e+00 -1.535533e-02
1.285895e+00 1.400000e+00 -1.258985e-02
1.309189e+00 1.400000e+00 -1.013153e-02
1.327960e+00 1.400000e+00 -8.010908e-03
1.342840e+00 1.400000e+00 -6.242995e-03
1.354502e+00 1.400000e+00 -4.816230e-03
1.363575e+00 1.400000e+00 -3.693776e-03
1.370604e+00 1.400000e+00 -2.828571e-03
1.376040e+00 1.400000e+00 -2.162464e-03
1.380243e+00 1.400000e+00 -1.645376e-03
1.383497e+00 1.400000e+00 -1.242164e-03
1.386019e+00 1.400000e+00 -9.270669e-04
1.387975e+00 1.400000e+00 -6.807398e-04
1.389491e+00 1.400000e+00 -4.885052e-04
1.390662e+00 1.400000e+00 -3.392178e-04
1.391557e+00 1.400000e+00 -2.245322e-04
1.392230e+00 1.400000e+00 -1.381592e-04
1.392719e+00 1.400000e+00 -7.537404e-05
1.393050e+00 1.400000e+00 -3.277650e-05
1.393242e+00 1.400000e+00 -8.087650e-06

ZONE T="SLICE_Y_0p10_BINS15_KS_1p0mm_SINGLE_LAYER"
1.028093e+00 1.000000e-01 0.000000e+00
1.027989e+00 1.000000e-01 1.341419e-05
1.027670e+00 1.000000e-01 5.436315e-05
1.027121e+00 1.000000e-01 1.250155e-04
1.026310e+00 1.000000e-01 2.291511e-04
